epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.13688,1.92392,2.57165,1.65259,0.50995,0.49367,0.45462,0.24275,3.07584,7.31542,2.60922,7.60278e-05,7.60278e-05,7.60278e-05
2,14.4195,1.98895,2.39211,1.71535,0.50789,0.47516,0.44534,0.24,3.01031,7.09719,2.49003,0.000154079,0.000154079,0.000154079
3,19.8418,1.83155,2.11305,1.64902,0.5201,0.46059,0.4429,0.24182,3.01967,6.49107,2.49755,0.000230822,0.000230822,0.000230822
4,24.7308,1.76582,1.96485,1.55514,0.50374,0.46459,0.44055,0.24431,2.99245,5.74512,2.46324,0.000232109,0.000232109,0.000232109
5,31.3336,1.73343,1.93138,1.46494,0.48853,0.47621,0.45089,0.24893,2.89974,4.89015,2.28313,0.000230146,0.000230146,0.000230146
6,37.2498,1.7062,1.87667,1.42385,0.48053,0.48867,0.45734,0.25502,2.89261,4.59959,2.20908,0.000228183,0.000228183,0.000228183
7,43.6513,1.70008,1.8682,1.43527,0.49757,0.49446,0.46225,0.26058,2.93152,3.93581,1.98149,0.000226219,0.000226219,0.000226219
8,49.4435,1.62416,1.75282,1.30068,0.50793,0.49111,0.46711,0.2667,2.90882,3.85761,1.82216,0.000224256,0.000224256,0.000224256
9,54.0482,1.59659,1.6378,1.30008,0.5263,0.49776,0.4776,0.28302,2.88935,3.78533,1.70435,0.000222292,0.000222292,0.000222292
10,61.8297,1.57393,1.59855,1.21956,0.5377,0.4977,0.48156,0.28895,2.90293,3.48854,1.47681,0.000220329,0.000220329,0.000220329
11,67.2095,1.57658,1.58238,1.22396,0.51767,0.51884,0.49332,0.30322,2.83957,3.65692,1.30504,0.000218365,0.000218365,0.000218365
12,73.33,1.51699,1.45516,1.19361,0.49011,0.54242,0.49472,0.30416,2.80381,3.95286,1.27247,0.000216401,0.000216401,0.000216401
13,78.5576,1.5748,1.47608,1.24485,0.51126,0.57227,0.5144,0.31485,2.63764,3.96231,1.31748,0.000214438,0.000214438,0.000214438
14,83.3796,1.54363,1.47412,1.23521,0.51595,0.57633,0.52121,0.31947,2.62118,3.94613,1.23927,0.000212474,0.000212474,0.000212474
15,90.7498,1.47113,1.40477,1.1601,0.52016,0.59215,0.52911,0.32596,2.47336,3.72066,1.14015,0.000210511,0.000210511,0.000210511
16,96.2796,1.48118,1.35299,1.18959,0.52227,0.60748,0.53484,0.33002,2.40743,3.62798,1.12657,0.000208548,0.000208548,0.000208548
17,102.671,1.48562,1.30733,1.22284,0.54369,0.58979,0.53862,0.3333,2.30683,3.35647,1.1176,0.000206584,0.000206584,0.000206584
18,108.302,1.50858,1.35787,1.16739,0.55533,0.58779,0.54269,0.33517,2.26649,3.22764,1.11018,0.000204621,0.000204621,0.000204621
19,113.177,1.47217,1.27723,1.1594,0.54633,0.60924,0.55395,0.34313,2.21091,3.07501,1.10494,0.000202657,0.000202657,0.000202657
20,120.017,1.46588,1.34095,1.12836,0.56954,0.60805,0.56089,0.34624,2.23291,3.07849,1.11216,0.000200694,0.000200694,0.000200694
21,124.99,1.45611,1.22228,1.16328,0.56284,0.63912,0.57776,0.35753,2.30921,3.18913,1.1723,0.00019873,0.00019873,0.00019873
22,129.689,1.46629,1.19841,1.16003,0.57963,0.6379,0.5831,0.35968,2.319,3.16127,1.1815,0.000196767,0.000196767,0.000196767
23,136.476,1.48355,1.30384,1.13114,0.54563,0.67768,0.58614,0.36399,2.34902,2.99144,1.20653,0.000194803,0.000194803,0.000194803
24,143.163,1.47277,1.24497,1.17171,0.56054,0.68696,0.58927,0.3656,2.35897,2.98556,1.24754,0.00019284,0.00019284,0.00019284
25,150.63,1.42491,1.17492,1.13417,0.61587,0.68856,0.59303,0.36983,2.38223,2.83738,1.43335,0.000190876,0.000190876,0.000190876
26,155.722,1.43925,1.20362,1.13553,0.62664,0.68221,0.59616,0.372,2.35284,2.87749,1.44824,0.000188912,0.000188912,0.000188912
27,160.593,1.42537,1.17205,1.15332,0.64768,0.66545,0.60468,0.37885,2.33227,2.88264,1.44251,0.000186949,0.000186949,0.000186949
28,167.693,1.45242,1.14542,1.11796,0.65662,0.66644,0.60671,0.38088,2.32613,2.89382,1.44068,0.000184986,0.000184986,0.000184986
29,174.005,1.43445,1.17126,1.1157,0.66985,0.67516,0.61243,0.38451,2.2995,2.9063,1.41619,0.000183022,0.000183022,0.000183022
30,182.279,1.42106,1.19394,1.12188,0.70269,0.67562,0.6141,0.38612,2.29897,2.85936,1.41125,0.000181058,0.000181058,0.000181058
31,187.116,1.4227,1.18421,1.09252,0.70627,0.67791,0.61898,0.38883,2.27614,2.8626,1.38468,0.000179095,0.000179095,0.000179095
32,193.297,1.41331,1.12834,1.10921,0.71202,0.67632,0.62617,0.39274,2.26925,2.83834,1.37673,0.000177132,0.000177132,0.000177132
33,200.392,1.38849,1.11124,1.09392,0.71513,0.67537,0.62795,0.39417,2.22716,2.85747,1.35328,0.000175168,0.000175168,0.000175168
34,205.741,1.44445,1.127,1.12234,0.71063,0.68725,0.63331,0.39745,2.20272,2.81722,1.34497,0.000173204,0.000173204,0.000173204
35,212.737,1.41231,1.07905,1.11839,0.71752,0.6893,0.63442,0.39842,2.17094,2.78976,1.33667,0.000171241,0.000171241,0.000171241
36,217.594,1.446,1.15482,1.12466,0.69647,0.70005,0.63537,0.39974,2.14702,2.78249,1.3349,0.000169277,0.000169277,0.000169277
37,222.796,1.43274,1.13465,1.1375,0.69827,0.71346,0.63518,0.39962,2.13185,2.6903,1.32743,0.000167314,0.000167314,0.000167314
38,230.544,1.40762,1.09757,1.08836,0.69962,0.71328,0.63733,0.40152,2.11797,2.65501,1.31234,0.000165351,0.000165351,0.000165351
39,235.558,1.40379,1.14314,1.08394,0.71914,0.69921,0.63951,0.40065,2.0838,2.60428,1.29777,0.000163387,0.000163387,0.000163387
40,243.077,1.45118,1.07703,1.15099,0.72916,0.69782,0.6418,0.40304,2.07206,2.59899,1.2948,0.000161424,0.000161424,0.000161424
41,249.294,1.45204,1.2053,1.08128,0.72583,0.69225,0.64298,0.40359,2.00754,2.55527,1.28624,0.00015946,0.00015946,0.00015946
42,256.112,1.40135,1.0593,1.09787,0.72339,0.6935,0.64424,0.40499,1.96678,2.4952,1.29196,0.000157497,0.000157497,0.000157497
43,261.672,1.36345,0.99266,1.10648,0.72512,0.69611,0.64539,0.40643,1.95563,2.53419,1.29998,0.000155533,0.000155533,0.000155533
44,266.78,1.42172,1.08691,1.09813,0.72039,0.6982,0.64589,0.4068,1.93571,2.55129,1.29993,0.00015357,0.00015357,0.00015357
45,274.011,1.41346,1.03441,1.14063,0.72153,0.6911,0.64939,0.40908,1.87769,2.56595,1.29272,0.000151606,0.000151606,0.000151606
46,280.055,1.4379,1.09054,1.11496,0.71842,0.69964,0.65044,0.41021,1.85307,2.53825,1.28752,0.000149643,0.000149643,0.000149643
