epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85728,0.85403,1.4398,0.88305,0.81216,0.78728,0.75416,0.6677,0.4813,0.80453,0.81801,7.60278e-05,7.60278e-05,7.60278e-05
2,15.9659,0.76294,1.28234,0.87305,0.79354,0.76423,0.7322,0.64458,0.50247,0.87048,0.82124,0.000154079,0.000154079,0.000154079
3,21.7522,0.67722,1.11382,0.85582,0.78062,0.7439,0.70778,0.61353,0.52686,0.89623,0.82172,0.000230822,0.000230822,0.000230822
4,28.0387,0.67962,1.01118,0.84466,0.78982,0.74362,0.70923,0.61506,0.52097,0.83982,0.81906,0.000232109,0.000232109,0.000232109
5,33.8358,0.65075,0.95942,0.84141,0.8265,0.73555,0.70137,0.61295,0.51455,0.78918,0.81447,0.000230146,0.000230146,0.000230146
6,39.069,0.65982,0.91927,0.83212,0.83398,0.74024,0.70497,0.61813,0.50686,0.76104,0.81228,0.000228183,0.000228183,0.000228183
7,45.9493,0.65267,0.89108,0.83089,0.83973,0.74929,0.71651,0.63314,0.49091,0.71609,0.80847,0.000226219,0.000226219,0.000226219
8,51.3561,0.68274,0.94155,0.82937,0.84637,0.75777,0.72696,0.64447,0.47925,0.68767,0.80683,0.000224256,0.000224256,0.000224256
9,57.5932,0.60257,0.80615,0.8211,0.84969,0.76704,0.73812,0.6612,0.46713,0.67112,0.80519,0.000222292,0.000222292,0.000222292
10,63.7069,0.59493,0.79237,0.82452,0.85144,0.76997,0.7424,0.66808,0.46251,0.66291,0.80432,0.000220329,0.000220329,0.000220329
11,68.7543,0.68507,0.95993,0.82749,0.85463,0.77592,0.74861,0.67521,0.45805,0.6475,0.80304,0.000218365,0.000218365,0.000218365
12,75.9341,0.65312,0.89039,0.82628,0.85599,0.77604,0.7493,0.6754,0.45757,0.64396,0.80241,0.000216401,0.000216401,0.000216401
13,81.8689,0.62679,0.82997,0.8226,0.86032,0.77718,0.75182,0.67835,0.45095,0.62771,0.80064,0.000214438,0.000214438,0.000214438
14,88.1317,0.5878,0.78044,0.81484,0.86166,0.7759,0.74988,0.67752,0.44862,0.62684,0.79983,0.000212474,0.000212474,0.000212474
15,94.8652,0.62191,0.83896,0.81659,0.86236,0.77751,0.75129,0.67819,0.44377,0.61902,0.79831,0.000210511,0.000210511,0.000210511
16,100.074,0.5848,0.77008,0.81362,0.86371,0.77835,0.75181,0.6781,0.44388,0.61462,0.79766,0.000208548,0.000208548,0.000208548
17,106.812,0.55077,0.72561,0.81137,0.86338,0.78153,0.75519,0.67979,0.44315,0.60812,0.79667,0.000206584,0.000206584,0.000206584
18,112.593,0.51954,0.67103,0.80718,0.86467,0.78252,0.75665,0.68078,0.44157,0.6071,0.79624,0.000204621,0.000204621,0.000204621
