epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,108.301,0.59311,2.52969,0.8783,0.85172,0.86179,0.90647,0.81095,0.46737,0.88735,0.83723,0.00997596,0.00332532,0.00997596,0.00332532,0.00997596,0.00332532,0.00997596,0.00332532
2,208.61,0.54291,0.88884,0.85394,0.92401,0.93848,0.95742,0.89592,0.35745,0.59723,0.81723,0.0197782,0.00659273,0.0197782,0.00659273,0.0197782,0.00659273,0.0197782,0.00659273
3,309.756,0.55431,0.78632,0.85736,0.91887,0.91992,0.95172,0.87332,0.41565,0.622,0.83815,0.0293824,0.00979415,0.0293824,0.00979415,0.0293824,0.00979415,0.0293824,0.00979415
4,410.95,0.51826,0.71848,0.85271,0.93635,0.94333,0.97127,0.91792,0.34265,0.48031,0.81451,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,511.468,0.46565,0.61128,0.83906,0.95502,0.9609,0.97864,0.9377,0.30575,0.37806,0.80116,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,610.175,0.43675,0.55418,0.83113,0.95482,0.96372,0.98281,0.94686,0.28894,0.34431,0.79082,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,711.94,0.41636,0.51106,0.825,0.96419,0.96685,0.98317,0.95286,0.27093,0.30971,0.78697,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,812.879,0.40374,0.49139,0.82211,0.9681,0.96792,0.98641,0.95823,0.26676,0.28455,0.78456,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,914.948,0.39211,0.46867,0.81913,0.96695,0.97986,0.98795,0.96307,0.26027,0.26628,0.78348,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1013.84,0.38185,0.44984,0.81574,0.97356,0.97137,0.98897,0.96611,0.25308,0.25891,0.78189,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1115.34,0.37461,0.4379,0.81401,0.9736,0.97542,0.98957,0.96626,0.25278,0.2518,0.78232,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1212.59,0.36921,0.42893,0.81394,0.9682,0.97215,0.98446,0.96337,0.2437,0.24923,0.77996,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1308.28,0.36447,0.42109,0.81267,0.97593,0.983,0.99128,0.9714,0.24159,0.22688,0.77883,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1404.33,0.35956,0.41036,0.81115,0.97711,0.97759,0.9895,0.96987,0.23708,0.22329,0.77927,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1502.87,0.35465,0.40458,0.81046,0.97442,0.9772,0.98865,0.96966,0.23638,0.22117,0.77841,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1597.77,0.35178,0.39727,0.81016,0.97551,0.98228,0.99079,0.97335,0.23048,0.21098,0.77739,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1693.17,0.34877,0.39395,0.80951,0.9774,0.97952,0.9907,0.97349,0.23078,0.21209,0.77654,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1788.68,0.34499,0.38602,0.80839,0.97897,0.98288,0.99094,0.97426,0.22817,0.19931,0.77611,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1886.44,0.34173,0.37984,0.80787,0.97651,0.98713,0.9917,0.9762,0.22634,0.19348,0.77685,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1982.58,0.33938,0.37538,0.80721,0.9827,0.98208,0.99142,0.97606,0.22533,0.19379,0.77603,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2077.91,0.33751,0.372,0.80696,0.98318,0.98214,0.99165,0.97599,0.22162,0.18883,0.776,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2174.42,0.33555,0.36784,0.80693,0.97743,0.9836,0.99133,0.97661,0.2184,0.18872,0.77556,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2271.18,0.3323,0.36221,0.80557,0.9787,0.98886,0.99214,0.97769,0.21735,0.18072,0.77551,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2367.1,0.32986,0.35994,0.80471,0.977,0.9893,0.99182,0.97745,0.2179,0.18057,0.77479,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
